Resident Evil: Extinction
The Forgotten
Kill Bill: Vol. 2
The Manchurian Candidate
Barbershop 2: Back in Business
Miracle
Friday Night Lights
Hellboy
The Stepford Wives
Dawn of the Dead
Without a Paddle
The Butterfly Effect
Shall We Dance
The Chronicles of Riddick
13 Going on 30
Saw
Crash
Blade: Trinity
King Arthur
Finding Neverland
A Cinderella Story
The Phantom of the Opera
Resident Evil: Apocalypse
Home on the Range
Fat Albert
Secret Window
Walking Tall
In Good Company
Napoleon Dynamite
Spanglish
Exorcist: The Beginning
Bridget Jones: The Edge of Reason
Catwoman
You Got Served
The Ladykillers
Sky Captain and the World of Tomorrow
Raising Helen
Taxi
Eternal Sunshine of the Spotless Mind
Alexander
Closer
The Punisher
Team America: World Police
Taking Lives
Anacondas: The Hunt for the Blood Orchid
Cellular
Johnson Family Vacation
Confessions of a Teenage Drama Queen
After the Sunset
The Prince & Me
Garden State
Jersey Girl
Twisted
Around the World in 80 Days
The Life Aquatic with Steve Zissou
Hotel Rwanda
Agent Cody Banks 2: Destination London
Ella Enchanted
The Alamo
Mr 3000
