id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt1482459,"The Lorax","18 May 2012 ","1h 26min",/name/nm0719208?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm0317450?ref_=tt_ov_wr,6.4,"$70,000,000","$70,217,070",U,0.0000
tt1483013,Oblivion,"12 April 2013 ","2h 4min",/name/nm2676052?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm2244980?ref_=tt_ov_wr,7.0,"$120,000,000","$37,054,485",UA,0.0000
tt1485796,"The Greatest Showman","29 December 2017 ","1h 45min",/name/nm1243905?ref_=tt_ov_dr,/company/co0286257?ref_=cons_tt_dt_co_1,/name/nm0081081?ref_=tt_ov_wr,8.0,"$84,000,000","$8,805,843",UA,0.0000
tt1486185,"Red Riding Hood","11 March 2011 ","1h 40min",/name/nm0362566?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0424901?ref_=tt_ov_wr,5.4,"$42,000,000","$14,005,335","Rated PG-13 for violence and creature terror, and some sensuality",0.0000
tt1488555,"The Change-Up","5 August 2011 ","1h 52min",/name/nm0229694?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm0524190?ref_=tt_ov_wr,6.3,"$52,000,000","$13,531,115","Rated R for pervasive strong crude sexual content and language, some graphic nudity and drug use",0.0000
tt1489889,"Central Intelligence","17 June 2016 ","1h 47min",/name/nm1098493?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm0054697?ref_=tt_ov_wr,6.3,"$50,000,000","$35,535,250","Rated PG-13 for crude and suggestive humor, some nudity, action violence and brief strong language",0.0000
tt1490017,"The LEGO Movie","7 February 2014 ","1h 40min",/name/nm0520488?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0520488?ref_=tt_ov_wr,7.8,"$60,000,000","$69,050,279",U,0.0000
tt1499658,"Horrible Bosses","1 June 2012 ","1h 38min",/name/nm1164861?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm0002864?ref_=tt_ov_wr,6.9,"$35,000,000","$28,302,165",A,0.0000
tt1502712,"Fantastic Four","21 August 2015 ","1h 40min",/name/nm2503633?ref_=tt_ov_dr,/company/co0000756?ref_=cons_tt_dt_co_1,/name/nm2916300?ref_=tt_ov_wr,4.3,"$120,000,000","$25,685,737",UA,0.0000
tt1515091,"Sherlock Holmes: A Game of Shadows","30 December 2011 ","2h 9min",/name/nm0005363?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm1802251?ref_=tt_ov_wr,7.5,"$125,000,000","$39,637,079",UA,0.0000
