movieid,actorid,rank
tt3532216,/name/nm0000129?ref_=tt_ov_st_sm,1
tt3532216,/name/nm1727304?ref_=tt_ov_st_sm,2
tt3532216,/name/nm0942792?ref_=tt_ov_st_sm,3
tt1648190,/name/nm0252961?ref_=tt_ov_st_sm,1
tt1648190,/name/nm0000190?ref_=tt_ov_st_sm,2
tt1648190,/name/nm6999211?ref_=tt_ov_st_sm,3
tt5027774,/name/nm0000531?ref_=tt_ov_st_sm,1
tt5027774,/name/nm0000437?ref_=tt_ov_st_sm,2
tt5027774,/name/nm0005377?ref_=tt_ov_st_sm,3
tt4925292,/name/nm1519680?ref_=tt_ov_st_sm,1
tt4925292,/name/nm0582418?ref_=tt_ov_st_sm,2
tt4925292,/name/nm0504832?ref_=tt_ov_st_sm,3
tt2334871,/name/nm2154960?ref_=tt_ov_st_sm,1
tt2334871,/name/nm0000443?ref_=tt_ov_st_sm,2
tt2334871,/name/nm5671708?ref_=tt_ov_st_sm,3
tt2398241,/name/nm1416215?ref_=tt_ov_st_sm,1
tt2398241,/name/nm0933988?ref_=tt_ov_st_sm,2
tt2398241,/name/nm0542133?ref_=tt_ov_st_sm,3
tt2568862,/name/nm0000323?ref_=tt_ov_st_sm,1
tt2568862,/name/nm2109158?ref_=tt_ov_st_sm,2
tt2568862,/name/nm0656929?ref_=tt_ov_st_sm,3
tt1666185,/name/nm7447307?ref_=tt_ov_st_sm,1
tt1666185,/name/nm1775091?ref_=tt_ov_st_sm,2
tt1666185,/name/nm0334159?ref_=tt_ov_st_sm,3
tt2932536,/name/nm0601553?ref_=tt_ov_st_sm,1
tt2932536,/name/nm2322853?ref_=tt_ov_st_sm,2
tt2932536,/name/nm0000546?ref_=tt_ov_st_sm,3
tt5462602,/name/nm3529685?ref_=tt_ov_st_sm,1
tt5462602,/name/nm1443740?ref_=tt_ov_st_sm,2
tt5462602,/name/nm0000456?ref_=tt_ov_st_sm,3
tt4587656,/name/nm3081796?ref_=tt_ov_st_sm,1
tt4587656,/name/nm1221047?ref_=tt_ov_st_sm,2
tt4587656,/name/nm5262775?ref_=tt_ov_st_sm,3
tt1219827,/name/nm0424060?ref_=tt_ov_st_sm,1
tt1219827,/name/nm1561982?ref_=tt_ov_st_sm,2
tt1219827,/name/nm0001429?ref_=tt_ov_st_sm,3
tt2239822,/name/nm2851530?ref_=tt_ov_st_sm,1
tt2239822,/name/nm5353321?ref_=tt_ov_st_sm,2
tt2239822,/name/nm0654110?ref_=tt_ov_st_sm,3
tt4468740,/name/nm0924210?ref_=tt_ov_st_sm,1
tt4468740,/name/nm0000424?ref_=tt_ov_st_sm,2
tt4468740,/name/nm0095017?ref_=tt_ov_st_sm,3
tt1972591,/name/nm0402271?ref_=tt_ov_st_sm,1
tt1972591,/name/nm2793591?ref_=tt_ov_st_sm,2
tt1972591,/name/nm0000179?ref_=tt_ov_st_sm,3
tt3348730,/name/nm1432956?ref_=tt_ov_st_sm,1
tt3348730,/name/nm0068551?ref_=tt_ov_st_sm,2
tt3348730,/name/nm0719678?ref_=tt_ov_st_sm,3
tt1961175,/name/nm3729721?ref_=tt_ov_st_sm,1
tt1961175,/name/nm0000474?ref_=tt_ov_st_sm,2
tt1961175,/name/nm0005125?ref_=tt_ov_st_sm,3
tt1615160,/name/nm1648520?ref_=tt_ov_st_sm,1
tt1615160,/name/nm0000329?ref_=tt_ov_st_sm,2
tt1615160,/name/nm1257480?ref_=tt_ov_st_sm,3
tt5001718,/name/nm3964350?ref_=tt_ov_st_sm,1
tt5001718,/name/nm3538718?ref_=tt_ov_st_sm,2
tt5001718,/name/nm0741242?ref_=tt_ov_st_sm,3
tt5362988,/name/nm2080328?ref_=tt_ov_st_sm,1
tt5362988,/name/nm0719637?ref_=tt_ov_st_sm,2
tt5362988,/name/nm1247407?ref_=tt_ov_st_sm,3
tt1981128,/name/nm0124930?ref_=tt_ov_st_sm,1
tt1981128,/name/nm0836343?ref_=tt_ov_st_sm,2
tt1981128,/name/nm0180411?ref_=tt_ov_st_sm,3
tt3401882,/name/nm0001084?ref_=tt_ov_st_sm,1
tt3401882,/name/nm0206359?ref_=tt_ov_st_sm,2
tt3401882,/name/nm0605079?ref_=tt_ov_st_sm,3
tt4795124,/name/nm0220240?ref_=tt_ov_st_sm,1
tt4795124,/name/nm0000161?ref_=tt_ov_st_sm,2
tt4795124,/name/nm6004682?ref_=tt_ov_st_sm,3
tt1458169,/name/nm0000932?ref_=tt_ov_st_sm,1
tt1458169,/name/nm6179030?ref_=tt_ov_st_sm,2
tt1458169,/name/nm0569341?ref_=tt_ov_st_sm,3
tt2226597,/name/nm0252961?ref_=tt_ov_st_sm,1
tt2226597,/name/nm0000701?ref_=tt_ov_st_sm,2
tt2226597,/name/nm0000977?ref_=tt_ov_st_sm,3
tt5442430,/name/nm0350453?ref_=tt_ov_st_sm,1
tt5442430,/name/nm0272581?ref_=tt_ov_st_sm,2
tt5442430,/name/nm0005351?ref_=tt_ov_st_sm,3
tt5478478,/name/nm0791864?ref_=tt_ov_st_sm,1
tt5478478,/name/nm0683253?ref_=tt_ov_st_sm,2
tt5478478,/name/nm4768271?ref_=tt_ov_st_sm,3
tt3486626,/name/nm0004715?ref_=tt_ov_st_sm,1
tt3486626,/name/nm0748973?ref_=tt_ov_st_sm,2
tt3486626,/name/nm0134072?ref_=tt_ov_st_sm,3
tt5439796,/name/nm1475594?ref_=tt_ov_st_sm,1
tt5439796,/name/nm3485845?ref_=tt_ov_st_sm,2
tt5439796,/name/nm0185819?ref_=tt_ov_st_sm,3
tt5580036,/name/nm3053338?ref_=tt_ov_st_sm,1
tt5580036,/name/nm1659221?ref_=tt_ov_st_sm,2
tt5580036,/name/nm0005049?ref_=tt_ov_st_sm,3
tt5719700,/name/nm0000702?ref_=tt_ov_st_sm,1
tt5719700,/name/nm0790688?ref_=tt_ov_st_sm,2
tt5719700,/name/nm0000298?ref_=tt_ov_st_sm,3
tt4481514,/name/nm0002071?ref_=tt_ov_st_sm,1
tt4481514,/name/nm0688132?ref_=tt_ov_st_sm,2
tt4481514,/name/nm1364532?ref_=tt_ov_st_sm,3
tt5294550,/name/nm0931329?ref_=tt_ov_st_sm,1
tt5294550,/name/nm0001626?ref_=tt_ov_st_sm,2
tt5294550,/name/nm0000242?ref_=tt_ov_st_sm,3
tt1389072,/name/nm0000354?ref_=tt_ov_st_sm,1
tt1389072,/name/nm0910607?ref_=tt_ov_st_sm,2
tt1389072,/name/nm2186865?ref_=tt_ov_st_sm,3
